time,call_id,passenger_id,origin_floor,destination_floor,car_id
28.82,CALL000001,H00001,8,1,C2
147.879,CALL000002,H00002,5,1,C1
192.348,CALL000003,H00003,2,1,C1
206.383,CALL000004,H00004,4,1,C1
262.001,CALL000005,H00005,4,1,C1
265.802,CALL000006,H00006,4,1,C3
325.036,CALL000007,H00007,5,1,C3
354.254,CALL000008,H00008,5,1,C1
414.895,CALL000009,H00009,6,1,C1
442.313,CALL000010,H00010,7,1,C2
798.547,CALL000011,H00011,7,1,C2
879.835,CALL000012,H00012,8,1,C2
951.551,CALL000013,H00013,3,7,C1
1116.292,CALL000014,H00014,3,8,C2
1152.598,CALL000015,H00015,3,7,C3
1166.759,CALL000016,H00016,6,1,C3
1188.149,CALL000017,H00017,3,1,C1
1189.75,CALL000018,H00018,3,8,C2
1194.004,CALL000019,H00019,3,1,C3
1214.692,CALL000020,H00020,3,1,C3
1239.465,CALL000021,H00021,5,1,C1
1269.72,CALL000022,H00022,3,8,C2
1290.003,CALL000023,H00023,8,1,C2
1308.343,CALL000024,H00024,3,7,C1
1330.747,CALL000025,H00025,6,1,C1
1398.118,CALL000026,H00026,8,1,C2
1399.497,CALL000027,H00027,3,1,C1
1425.271,CALL000028,H00028,3,1,C1
1430.63,CALL000029,H00029,3,1,C3
1442.944,CALL000030,H00030,3,7,C3
1483.455,CALL000031,H00031,3,8,C2
1506.435,CALL000032,H00032,3,7,C2
1510.77,CALL000033,H00033,3,8,C1
1511.81,CALL000034,H00034,3,6,C1
1512.107,CALL000035,H00035,3,7,C1
1520.823,CALL000036,H00036,3,8,C1
1534.062,CALL000037,H00037,3,6,C1
1540.436,CALL000038,H00038,3,1,C3
1553.04,CALL000039,H00039,3,8,C1
1559.928,CALL000040,H00040,3,6,C3
1561.666,CALL000041,H00041,3,1,C3
1617.417,CALL000042,H00042,3,1,C3
1621.089,CALL000043,H00043,3,6,C2
1631.929,CALL000044,H00044,3,1,C2
1632.457,CALL000045,H00045,8,1,C1
1633.24,CALL000046,H00046,3,1,C2
1657.071,CALL000047,H00047,3,1,C2
1664.205,CALL000048,H00048,3,1,C1
1666.57,CALL000049,H00049,3,1,C3
1678.026,CALL000050,H00050,3,1,C3
1685.073,CALL000051,H00051,3,7,C2
1688.325,CALL000052,H00052,3,1,C2
1694.859,CALL000053,H00053,2,1,C3
1699.951,CALL000054,H00054,3,8,C1
1704.853,CALL000055,H00055,3,1,C2
1708.457,CALL000056,H00056,3,1,C2
1715.108,CALL000057,H00057,3,1,C1
1715.614,CALL000058,H00058,3,1,C1
1717.482,CALL000059,H00059,3,1,C1
1720.203,CALL000060,H00060,3,1,C3
1726.932,CALL000061,H00061,3,7,C2
1726.999,CALL000062,H00062,3,1,C2
1735.551,CALL000063,H00063,3,1,C3
1738.343,CALL000064,H00064,3,6,C2
1742.328,CALL000065,H00065,3,7,C2
1743.26,CALL000066,H00066,3,7,C3
1743.359,CALL000067,H00067,3,1,C2
1745.148,CALL000068,H00068,3,1,C2
1752.8,CALL000069,H00069,3,7,C1
1755.524,CALL000070,H00070,3,1,C3
1762.091,CALL000071,H00071,3,1,C2
1766.766,CALL000072,H00072,3,8,C2
1798.676,CALL000073,H00073,3,1,C2
1807.278,CALL000074,H00074,3,8,C3
1807.837,CALL000075,H00075,3,8,C3
1812.561,CALL000076,H00076,3,6,C3
1812.989,CALL000077,H00077,3,1,C1
1827.455,CALL000078,H00078,3,1,C1
1833.444,CALL000079,H00079,3,1,C1
1840.408,CALL000080,H00080,3,7,C2
1841.596,CALL000081,H00081,3,8,C1
1843.97,CALL000082,H00082,5,1,C2
1846.532,CALL000083,H00083,3,1,C1
1846.739,CALL000084,H00084,3,1,C3
1858.145,CALL000085,H00085,3,1,C1
1867.386,CALL000086,H00086,3,1,C3
1867.392,CALL000087,H00087,3,1,C3
1867.736,CALL000088,H00088,3,1,C3
1868.746,CALL000089,H00089,3,6,C1
1879.362,CALL000090,H00090,7,1,C2
1881.008,CALL000091,H00091,3,6,C2
1882.934,CALL000092,H00092,3,6,C3
1898.406,CALL000093,H00093,3,1,C1
1899.773,CALL000094,H00094,3,6,C3
1904.768,CALL000095,H00095,3,7,C3
1906.36,CALL000096,H00096,3,1,C1
1913.911,CALL000097,H00097,3,8,C1
1925.43,CALL000098,H00098,3,1,C1
1944.584,CALL000099,H00099,3,6,C1
1945.399,CALL000100,H00100,3,1,C1
1959.496,CALL000101,H00101,3,1,C2
1963.532,CALL000102,H00102,3,1,C2
1975.217,CALL000103,H00103,3,8,C2
1987.298,CALL000104,H00104,3,8,C2
