passenger_id,hall_arrival_time,origin_floor,destination_floor,group_size,luggage_factor,call_time,assigned_car_id,board_time,arrival_time,status,waiting_time,ride_time,total_service_time
H00001,28.82,8,1,1,1.0,28.82,C2,48.82,71.62,ARRIVED,20.0,22.800000000000004,42.800000000000004
H00002,147.879,5,1,1,1.0,147.879,C1,160.379,175.67899999999997,ARRIVED,12.5,15.299999999999983,27.799999999999983
H00003,192.348,2,1,1,1.0,192.348,C1,197.348,205.148,ARRIVED,5.0,7.799999999999983,12.799999999999983
H00004,206.383,4,1,1,1.0,206.383,C1,216.648,229.44799999999998,ARRIVED,10.264999999999986,12.799999999999983,23.06499999999997
H00005,262.001,4,1,1,1.0,262.001,C1,272.001,284.801,ARRIVED,10.0,12.800000000000011,22.80000000000001
H00006,265.802,4,1,1,1.0,265.802,C3,275.802,288.60200000000003,ARRIVED,10.0,12.800000000000011,22.80000000000001
H00007,325.036,5,1,1,1.0,325.036,C3,337.536,352.836,ARRIVED,12.5,15.300000000000011,27.80000000000001
H00008,354.254,5,1,1,1.0,354.254,C1,366.754,382.05400000000003,ARRIVED,12.5,15.300000000000011,27.80000000000001
H00009,414.895,6,1,1,1.0,414.895,C1,429.895,447.695,ARRIVED,15.0,17.80000000000001,32.80000000000001
H00010,442.313,7,1,1,1.0,442.313,C2,459.813,480.113,ARRIVED,17.5,20.30000000000001,37.80000000000001
H00011,798.547,7,1,1,1.0,798.547,C2,816.047,836.3470000000001,ARRIVED,17.5,20.300000000000068,37.80000000000007
H00012,879.835,8,1,1,1.0,879.835,C2,899.835,922.6350000000001,ARRIVED,20.0,22.800000000000068,42.80000000000007
H00013,951.551,3,7,1,1.0,951.551,C1,959.051,974.3510000000001,ARRIVED,7.5,15.300000000000068,22.800000000000068
H00014,1116.292,3,8,1,1.0,1116.292,C2,1123.792,1141.5919999999999,ARRIVED,7.5,17.799999999999955,25.299999999999955
H00015,1152.598,3,7,1,1.0,1152.598,C3,1160.098,1175.398,ARRIVED,7.5,15.299999999999955,22.799999999999955
H00016,1166.759,6,1,1,1.0,1166.759,C3,1181.898,1199.6979999999999,ARRIVED,15.138999999999896,17.799999999999955,32.93899999999985
H00017,1188.149,3,1,1,1.0,1188.149,C1,1195.649,1205.9489999999998,ARRIVED,7.5,10.299999999999955,17.799999999999955
H00018,1189.75,3,8,1,1.0,1189.75,C2,1199.0,1216.8,ARRIVED,9.25,17.799999999999955,27.049999999999955
H00019,1194.004,3,1,1,1.0,1194.004,C3,1208.6979999999999,1218.9979999999998,ARRIVED,14.69399999999996,10.299999999999955,24.993999999999915
H00020,1214.692,3,1,1,1.0,1214.692,C3,1227.9979999999998,1238.2979999999998,ARRIVED,13.305999999999813,10.299999999999955,23.605999999999767
H00021,1239.465,5,1,1,1.0,1239.465,C1,1251.965,1267.2649999999999,ARRIVED,12.5,15.299999999999955,27.799999999999955
H00022,1269.72,3,8,1,1.0,1269.72,C2,1277.22,1295.02,ARRIVED,7.5,17.799999999999955,25.299999999999955
H00023,1290.003,8,1,1,1.0,1290.003,C2,1295.02,1320.82,ARRIVED,5.017000000000053,25.799999999999955,30.817000000000007
H00024,1308.343,3,7,1,1.0,1308.343,C1,1315.843,1331.143,ARRIVED,7.5,15.299999999999955,22.799999999999955
H00025,1330.747,6,1,1,1.0,1330.747,C1,1337.643,1355.443,ARRIVED,6.895999999999958,17.799999999999955,24.695999999999913
H00026,1398.118,8,1,1,1.0,1398.118,C2,1418.118,1440.918,ARRIVED,20.0,22.799999999999955,42.799999999999955
H00027,1399.497,3,1,1,1.0,1399.497,C1,1406.997,1417.297,ARRIVED,7.5,10.299999999999955,17.799999999999955
H00028,1425.271,3,1,1,1.0,1425.271,C1,1432.771,1443.071,ARRIVED,7.5,10.299999999999955,17.799999999999955
H00029,1430.63,3,1,1,1.0,1430.63,C3,1438.13,1448.43,ARRIVED,7.5,10.299999999999955,17.799999999999955
H00030,1442.944,3,7,1,1.0,1442.944,C3,1457.43,1472.73,ARRIVED,14.486000000000104,15.299999999999955,29.786000000000058
H00031,1483.455,3,8,1,1.0,1483.455,C2,1490.955,1508.7549999999999,ARRIVED,7.5,17.799999999999955,25.299999999999955
H00032,1506.435,3,7,1,1.0,1506.435,C2,1525.2549999999999,1540.5549999999998,ARRIVED,18.819999999999936,15.299999999999955,34.11999999999989
H00033,1510.77,3,8,1,1.0,1510.77,C1,1518.27,1595.5699999999997,ARRIVED,7.5,77.29999999999973,84.79999999999973
H00034,1511.81,3,6,1,1.0,1511.81,C1,1518.27,1536.1699999999998,ARRIVED,6.460000000000036,17.899999999999864,24.3599999999999
H00035,1512.107,3,7,1,1.0,1512.107,C1,1518.27,1587.2699999999998,ARRIVED,6.163000000000011,68.99999999999977,75.16299999999978
H00036,1520.823,3,8,1,1.0,1520.823,C1,1523.37,1595.5699999999997,ARRIVED,2.546999999999798,72.19999999999982,74.74699999999962
H00037,1534.062,3,6,1,1.0,1534.062,C1,1547.6699999999998,1560.4699999999998,ARRIVED,13.607999999999947,12.799999999999955,26.4079999999999
H00038,1540.436,3,1,1,1.0,1540.436,C3,1547.936,1558.2359999999999,ARRIVED,7.5,10.299999999999955,17.799999999999955
H00039,1553.04,3,8,1,1.0,1553.04,C1,1571.9699999999998,1595.5699999999997,ARRIVED,18.929999999999836,23.59999999999991,42.529999999999745
H00040,1559.928,3,6,1,1.0,1559.928,C3,1567.428,1583.928,ARRIVED,7.5,16.5,24.0
H00041,1561.666,3,1,1,1.0,1561.666,C3,1567.428,1601.028,ARRIVED,5.762000000000171,33.59999999999991,39.36200000000008
H00042,1617.417,3,1,1,1.0,1617.417,C3,1624.917,1635.2169999999999,ARRIVED,7.5,10.299999999999955,17.799999999999955
H00043,1621.089,3,6,1,1.0,1621.089,C2,1628.589,1641.389,ARRIVED,7.5,12.799999999999955,20.299999999999955
H00044,1631.929,3,1,1,1.0,1631.929,C2,1652.889,1664.489,ARRIVED,20.95999999999981,11.600000000000136,32.559999999999945
H00045,1632.457,8,1,1,1.0,1632.457,C1,1661.5,1684.3,ARRIVED,29.042999999999893,22.799999999999955,51.84299999999985
H00046,1633.24,3,1,1,1.0,1633.24,C2,1652.889,1664.489,ARRIVED,19.648999999999887,11.600000000000136,31.249000000000024
H00047,1657.071,3,1,1,1.0,1657.071,C2,1673.489,1683.789,ARRIVED,16.41800000000012,10.299999999999955,26.718000000000075
H00048,1664.205,3,1,1,1.0,1664.205,C1,1693.3,1703.6,ARRIVED,29.095000000000027,10.299999999999955,39.39499999999998
H00049,1666.57,3,1,1,1.0,1666.57,C3,1674.07,1684.37,ARRIVED,7.5,10.299999999999955,17.799999999999955
H00050,1678.026,3,1,1,1.0,1678.026,C3,1693.37,1708.97,ARRIVED,15.343999999999824,15.600000000000136,30.94399999999996
H00051,1685.073,3,7,1,1.0,1685.073,C2,1692.789,1711.789,ARRIVED,7.7159999999998945,19.0,26.715999999999894
