time,call_id,passenger_id,origin_floor,destination_floor,car_id
0.0,CALL000001,H00001,4,2,C2
0.0,CALL000002,H00002,3,2,C1
0.0,CALL000003,H00003,5,2,C2
0.0,CALL000004,H00004,6,2,C3
0.0,CALL000005,H00005,6,2,C2
0.0,CALL000006,H00006,6,2,C1
0.0,CALL000007,H00007,4,2,C3
0.0,CALL000008,H00008,3,2,C1
0.0,CALL000009,H00009,8,2,C1
0.0,CALL000010,H00010,5,2,C3
0.0,CALL000011,H00011,4,2,C2
0.0,CALL000012,H00012,3,2,C2
0.0,CALL000013,H00013,4,2,C3
0.0,CALL000014,H00014,3,2,C2
0.0,CALL000015,H00015,5,2,C2
0.0,CALL000016,H00016,3,2,C3
0.0,CALL000017,H00017,7,2,C2
0.0,CALL000018,H00018,3,2,C1
0.0,CALL000019,H00019,6,2,C3
0.0,CALL000020,H00020,5,2,C1
0.0,CALL000021,H00021,8,2,C1
0.0,CALL000022,H00022,4,2,C3
0.0,CALL000023,H00023,7,2,C3
0.0,CALL000024,H00024,3,2,C2
0.0,CALL000025,H00025,4,2,C1
0.0,CALL000026,H00026,3,2,C2
0.0,CALL000027,H00027,2,1,C2
42.757,CALL000028,H00028,2,1,C1
48.783,CALL000029,H00029,5,1,C3
50.76,CALL000030,H00030,3,1,C2
53.876,CALL000031,H00031,8,1,C3
57.708,CALL000032,H00032,5,1,C1
112.286,CALL000033,H00033,5,1,C1
116.434,CALL000034,H00034,8,1,C1
202.748,CALL000035,H00035,5,2,C2
211.539,CALL000036,H00036,6,2,C2
236.491,CALL000037,H00037,2,3,C3
272.358,CALL000038,H00038,3,1,C3
302.648,CALL000039,H00039,2,1,C1
328.917,CALL000040,H00040,7,1,C2
357.884,CALL000041,H00041,2,1,C3
363.424,CALL000042,H00042,6,2,C3
386.343,CALL000043,H00043,5,1,C3
470.246,CALL000044,H00044,6,1,C3
482.384,CALL000045,H00045,8,2,C3
544.506,CALL000046,H00046,7,1,C2
567.898,CALL000047,H00047,4,2,C1
616.219,CALL000048,H00048,8,1,C3
621.049,CALL000049,H00049,3,1,C3
680.436,CALL000050,H00050,7,1,C2
716.13,CALL000051,H00051,6,1,C3
721.509,CALL000052,H00052,8,1,C3
763.053,CALL000053,H00053,4,2,C3
775.446,CALL000054,H00054,8,1,C1
863.442,CALL000055,H00055,4,1,C2
872.116,CALL000056,H00056,7,1,C3
927.072,CALL000057,H00057,6,1,C1
941.633,CALL000058,H00058,7,1,C3
969.92,CALL000059,H00059,2,1,C3
970.857,CALL000060,H00060,4,1,C1
1037.446,CALL000061,H00061,7,2,C2
1042.968,CALL000062,H00062,6,2,C3
1061.959,CALL000063,H00063,8,1,C3
1125.027,CALL000064,H00064,7,1,C2
1155.211,CALL000065,H00065,7,2,C3
1163.06,CALL000066,H00066,4,2,C2
1175.236,CALL000067,H00067,4,1,C2
1199.965,CALL000068,H00068,6,2,C2
1227.922,CALL000069,H00069,2,1,C1
1271.458,CALL000070,H00070,6,2,C2
1316.828,CALL000071,H00071,3,2,C2
1337.075,CALL000072,H00072,5,1,C1
1355.308,CALL000073,H00073,5,1,C2
1357.392,CALL000074,H00074,6,2,C3
1430.45,CALL000075,H00075,7,1,C3
1455.972,CALL000076,H00076,5,1,C1
1483.409,CALL000077,H00077,2,1,C1
1496.643,CALL000078,H00078,7,1,C3
1532.165,CALL000079,H00079,8,2,C3
1563.8,CALL000080,H00080,5,2,C3
1593.211,CALL000081,H00081,6,2,C1
1668.446,CALL000082,H00082,4,2,C3
1707.071,CALL000083,H00083,5,1,C1
1732.809,CALL000084,H00084,4,1,C2
1734.984,CALL000085,H00085,4,1,C2
1785.184,CALL000086,H00086,5,1,C2
1822.106,CALL000087,H00087,2,7,C2
1857.182,CALL000088,H00088,7,1,C2
1866.41,CALL000089,H00089,5,2,C3
1884.655,CALL000090,H00090,3,1,C3
1893.804,CALL000091,H00091,3,1,C2
1923.681,CALL000092,H00092,3,2,C2
1999.242,CALL000093,H00093,5,2,C3
2031.399,CALL000094,H00094,5,1,C2
2040.571,CALL000095,H00095,2,8,C3
2041.111,CALL000096,H00096,8,2,C2
2080.924,CALL000097,H00097,7,1,C2
2087.638,CALL000098,H00098,3,2,C1
2129.264,CALL000099,H00099,8,2,C1
2142.435,CALL000100,H00100,8,2,C3
2143.55,CALL000101,H00101,7,1,C3
2146.229,CALL000102,H00102,8,1,C1
2214.213,CALL000103,H00103,4,2,C2
2217.701,CALL000104,H00104,8,1,C3
2306.499,CALL000105,H00105,4,1,C3
