passenger_id,hall_arrival_time,origin_floor,destination_floor,group_size,luggage_factor,call_time,assigned_car_id,board_time,arrival_time,status,waiting_time,ride_time,total_service_time
H00001,0.0,4,2,2,1.0,0.0,C2,21.5,62.5,ARRIVED,21.5,41.0,62.5
H00002,0.0,3,2,2,1.0,0.0,C1,7.5,64.10000000000001,ARRIVED,7.5,56.60000000000001,64.10000000000001
H00003,0.0,5,2,2,1.0,0.0,C2,,,LEFT_BEHIND,,,
H00004,0.0,6,2,2,1.0,0.0,C3,30.499999999999996,59.099999999999994,ARRIVED,30.499999999999996,28.599999999999998,59.099999999999994
H00005,0.0,6,2,2,1.0,0.0,C2,,,LEFT_BEHIND,,,
H00006,0.0,6,2,2,1.0,0.0,C1,30.5,64.10000000000001,ARRIVED,30.5,33.60000000000001,64.10000000000001
H00007,0.0,4,2,2,1.0,0.0,C3,14.7,59.099999999999994,ARRIVED,14.7,44.39999999999999,59.099999999999994
H00008,0.0,3,2,2,1.0,0.0,C1,7.5,64.10000000000001,ARRIVED,7.5,56.60000000000001,64.10000000000001
H00009,0.0,8,2,2,1.0,0.0,C1,40.2,64.10000000000001,ARRIVED,40.2,23.900000000000006,64.10000000000001
H00010,0.0,5,2,2,1.0,0.0,C3,23.299999999999997,59.099999999999994,ARRIVED,23.299999999999997,35.8,59.099999999999994
H00011,0.0,4,2,2,1.0,0.0,C2,21.5,62.5,ARRIVED,21.5,41.0,62.5
H00012,0.0,3,2,2,1.0,0.0,C2,12.2,62.5,ARRIVED,12.2,50.3,62.5
H00013,0.0,4,2,2,1.0,0.0,C3,14.7,59.099999999999994,ARRIVED,14.7,44.39999999999999,59.099999999999994
H00014,0.0,3,2,2,1.0,0.0,C2,12.2,62.5,ARRIVED,12.2,50.3,62.5
H00015,0.0,5,2,2,1.0,0.0,C2,,,LEFT_BEHIND,,,
H00016,0.0,3,2,2,1.0,0.0,C3,7.5,59.099999999999994,ARRIVED,7.5,51.599999999999994,59.099999999999994
H00017,0.0,7,2,2,1.0,0.0,C2,,,LEFT_BEHIND,,,
