timestamp,event_type,car_id,floor,passenger_id,direction,load
0.0,hall_call_assigned,C1,7,H00001,,
3.545,hall_call_assigned,C2,6,H00002,,
17.5,board,C1,7,H00001,,3.0
18.545,board,C2,6,H00002,,1.0
36.345000000000006,alight,C2,1,H00002,,0.0
37.800000000000004,alight,C1,1,H00001,,0.0
44.934,hall_call_assigned,C1,6,H00003,,
46.854,hall_call_assigned,C3,4,H00004,,
56.854,board,C3,4,H00004,,1.0
59.934,board,C1,6,H00003,,1.0
69.654,alight,C3,1,H00004,,0.0
77.734,alight,C1,1,H00003,,0.0
105.134,hall_call_assigned,C3,8,H00005,,
125.134,board,C3,8,H00005,,1.0
140.2,hall_call_assigned,C1,4,H00006,,
147.934,alight,C3,1,H00005,,0.0
150.2,board,C1,4,H00006,,1.0
162.99999999999997,alight,C1,1,H00006,,0.0
199.776,hall_call_assigned,C2,4,H00007,,
209.093,hall_call_assigned,C2,5,H00008,,
209.776,board,C2,4,H00007,,3.0
216.976,board,C2,5,H00008,,4.0
226.674,hall_call_assigned,C3,5,H00009,,
232.527,hall_call_assigned,C3,7,H00010,,
232.87599999999998,alight,C2,1,H00007,,1.0
232.87599999999998,alight,C2,1,H00008,,0.0
239.174,board,C3,5,H00009,,1.0
245.276,hall_call_assigned,C3,4,H00011,,
248.874,board,C3,7,H00010,,2.0
261.07399999999996,board,C3,4,H00011,,3.0
275.07399999999996,alight,C3,1,H00009,,2.0
275.07399999999996,alight,C3,1,H00010,,1.0
275.07399999999996,alight,C3,1,H00011,,0.0
358.993,hall_call_assigned,C2,7,H00012,,
369.213,hall_call_assigned,C2,2,H00013,,
369.274,hall_call_assigned,C1,7,H00014,,
376.493,board,C2,7,H00012,,1.0
386.774,board,C1,7,H00014,,1.0
393.693,board,C2,2,H00013,,2.0
402.09299999999996,alight,C2,1,H00012,,1.0
402.09299999999996,alight,C2,1,H00013,,0.0
407.074,alight,C1,1,H00014,,0.0
408.361,hall_call_assigned,C3,7,H00015,,
425.861,board,C3,7,H00015,,1.0
446.161,alight,C3,1,H00015,,0.0
608.203,hall_call_assigned,C3,8,H00016,,
616.031,hall_call_assigned,C2,5,H00017,,
628.203,board,C3,8,H00016,,1.0
628.531,board,C2,5,H00017,,1.0
633.465,hall_call_assigned,C2,2,H00018,,
643.831,alight,C2,1,H00017,,0.0
651.003,alight,C3,1,H00016,,0.0
650.331,board,C2,2,H00018,,3.0
658.1310000000001,alight,C2,1,H00018,,0.0
664.471,hall_call_assigned,C2,3,H00019,,
671.971,board,C2,3,H00019,,3.0
682.2710000000001,alight,C2,1,H00019,,0.0
719.115,hall_call_assigned,C1,4,H00020,,
729.115,board,C1,4,H00020,,1.0
733.226,hall_call_assigned,C3,2,H00021,,
738.226,board,C3,2,H00021,,1.0
741.9150000000001,alight,C1,1,H00020,,0.0
746.0260000000001,alight,C3,1,H00021,,0.0
874.226,hall_call_assigned,C2,5,H00022,,
886.726,board,C2,5,H00022,,3.0
902.0260000000001,alight,C2,1,H00022,,0.0
932.727,hall_call_assigned,C3,6,H00023,,
947.727,board,C3,6,H00023,,3.0
965.527,alight,C3,1,H00023,,0.0
1007.425,hall_call_assigned,C3,2,H00024,,
1012.425,board,C3,2,H00024,,1.0
1020.225,alight,C3,1,H00024,,0.0
1035.457,hall_call_assigned,C3,7,H00025,,
1052.193,hall_call_assigned,C2,3,H00026,,
1052.957,board,C3,7,H00025,,1.0
1059.693,board,C2,3,H00026,,1.0
1069.993,alight,C2,1,H00026,,0.0
1073.257,alight,C3,1,H00025,,0.0
1234.239,hall_call_assigned,C2,7,H00027,,
1251.739,board,C2,7,H00027,,1.0
1254.317,hall_call_assigned,C3,8,H00028,,
1272.039,alight,C2,1,H00027,,0.0
1274.317,board,C3,8,H00028,,3.0
1297.117,alight,C3,1,H00028,,0.0
1402.437,hall_call_assigned,C3,5,H00029,,
