passenger_id,hall_arrival_time,origin_floor,destination_floor,group_size,luggage_factor,call_time,assigned_car_id,board_time,arrival_time,status,waiting_time,ride_time,total_service_time
H00001,0.0,7,1,2,1.5,0.0,C1,17.5,37.800000000000004,ARRIVED,17.5,20.300000000000004,37.800000000000004
H00002,3.545,6,1,1,1.0,3.545,C2,18.545,36.345000000000006,ARRIVED,15.000000000000002,17.800000000000004,32.800000000000004
H00003,44.934,6,1,1,1.0,44.934,C1,59.934,77.734,ARRIVED,15.0,17.799999999999997,32.8
H00004,46.854,4,1,1,1.0,46.854,C3,56.854,69.654,ARRIVED,10.0,12.799999999999997,22.799999999999997
H00005,105.134,8,1,1,1.0,105.134,C3,125.134,147.934,ARRIVED,20.0,22.799999999999997,42.8
H00006,140.2,4,1,1,1.0,140.2,C1,150.2,162.99999999999997,ARRIVED,10.0,12.799999999999983,22.799999999999983
H00007,199.776,4,1,2,1.5,199.776,C2,209.776,232.87599999999998,ARRIVED,10.0,23.099999999999966,33.099999999999966
H00008,209.093,5,1,1,1.0,209.093,C2,216.976,232.87599999999998,ARRIVED,7.88300000000001,15.899999999999977,23.782999999999987
H00009,226.674,5,1,1,1.0,226.674,C3,239.174,275.07399999999996,ARRIVED,12.5,35.89999999999995,48.39999999999995
H00010,232.527,7,1,1,1.0,232.527,C3,248.874,275.07399999999996,ARRIVED,16.34700000000001,26.19999999999996,42.54699999999997
H00011,245.276,4,1,1,1.0,245.276,C3,261.07399999999996,275.07399999999996,ARRIVED,15.797999999999945,14.0,29.797999999999945
H00012,358.993,7,1,1,1.0,358.993,C2,376.493,402.09299999999996,ARRIVED,17.5,25.599999999999966,43.099999999999966
H00013,369.213,2,1,1,1.0,369.213,C2,393.693,402.09299999999996,ARRIVED,24.47999999999996,8.399999999999977,32.87999999999994
H00014,369.274,7,1,1,1.0,369.274,C1,386.774,407.074,ARRIVED,17.5,20.30000000000001,37.80000000000001
H00015,408.361,7,1,1,1.0,408.361,C3,425.861,446.161,ARRIVED,17.5,20.30000000000001,37.80000000000001
H00016,608.203,8,1,1,1.0,608.203,C3,628.203,651.003,ARRIVED,20.0,22.800000000000068,42.80000000000007
H00017,616.031,5,1,1,1.0,616.031,C2,628.531,643.831,ARRIVED,12.5,15.300000000000068,27.800000000000068
H00018,633.465,2,1,2,1.5,633.465,C2,650.331,658.1310000000001,ARRIVED,16.865999999999985,7.800000000000068,24.666000000000054
H00019,664.471,3,1,2,1.5,664.471,C2,671.971,682.2710000000001,ARRIVED,7.5,10.300000000000068,17.800000000000068
H00020,719.115,4,1,1,1.0,719.115,C1,729.115,741.9150000000001,ARRIVED,10.0,12.800000000000068,22.800000000000068
H00021,733.226,2,1,1,1.0,733.226,C3,738.226,746.0260000000001,ARRIVED,5.0,7.800000000000068,12.800000000000068
H00022,874.226,5,1,2,1.5,874.226,C2,886.726,902.0260000000001,ARRIVED,12.5,15.300000000000068,27.800000000000068
H00023,932.727,6,1,2,1.5,932.727,C3,947.727,965.527,ARRIVED,15.0,17.800000000000068,32.80000000000007
H00024,1007.425,2,1,1,1.0,1007.425,C3,1012.425,1020.225,ARRIVED,5.0,7.800000000000068,12.800000000000068
H00025,1035.457,7,1,1,1.0,1035.457,C3,1052.957,1073.257,ARRIVED,17.5,20.299999999999955,37.799999999999955
H00026,1052.193,3,1,1,1.0,1052.193,C2,1059.693,1069.993,ARRIVED,7.5,10.299999999999955,17.799999999999955
