passenger_id,hall_arrival_time,origin_floor,destination_floor,group_size,luggage_factor,call_time,assigned_car_id,board_time,arrival_time,status,waiting_time,ride_time,total_service_time
P00001,0.111,7,1,1,1.0,0.111,C1,17.611,37.911,ARRIVED,17.5,20.3,37.800000000000004
P00002,8.882,7,1,1,1.0,8.882,C2,26.381999999999998,46.681999999999995,ARRIVED,17.5,20.299999999999997,37.8
P00003,42.315,2,1,1,1.0,42.315,C1,47.315,84.71499999999999,ARRIVED,5.0,37.39999999999999,42.39999999999999
P00004,46.121,6,1,1,1.0,46.121,C1,62.015,84.71499999999999,ARRIVED,15.893999999999998,22.69999999999999,38.59399999999999
P00005,61.051,6,1,1,1.0,61.051,C1,62.015,84.71499999999999,ARRIVED,0.9639999999999986,22.69999999999999,23.663999999999987
P00006,77.807,3,1,1,1.0,77.807,C2,85.307,95.607,ARRIVED,7.5,10.299999999999997,17.799999999999997
P00007,90.626,2,1,1,1.0,90.626,C1,95.626,139.026,ARRIVED,5.0,43.400000000000006,48.400000000000006
P00008,95.252,6,1,1,1.0,95.252,C1,110.32600000000001,139.026,ARRIVED,15.074000000000012,28.700000000000003,43.774000000000015
P00009,102.864,7,1,1,1.0,102.864,C1,117.52600000000001,139.026,ARRIVED,14.662000000000006,21.5,36.162000000000006
P00010,108.181,8,1,1,1.0,108.181,C2,128.18099999999998,156.28099999999995,ARRIVED,19.999999999999986,28.099999999999966,48.09999999999995
P00011,125.725,5,1,1,1.0,125.725,C1,153.026,177.926,ARRIVED,27.301000000000016,24.899999999999977,52.20099999999999
P00012,126.905,7,1,1,1.0,126.905,C2,135.38099999999997,156.28099999999995,ARRIVED,8.47599999999997,20.899999999999977,29.375999999999948
P00013,144.46,4,1,1,1.0,144.46,C1,160.226,177.926,ARRIVED,15.765999999999991,17.69999999999999,33.46599999999998
P00014,149.371,3,1,1,1.0,149.371,C3,156.871,167.171,ARRIVED,7.5,10.299999999999983,17.799999999999983
P00015,160.813,4,1,1,1.0,160.813,C1,163.926,177.926,ARRIVED,3.1129999999999995,14.0,17.113
P00016,166.945,2,1,1,1.0,166.945,C2,171.945,179.74499999999998,ARRIVED,5.0,7.799999999999983,12.799999999999983
P00017,174.183,3,1,1,1.0,174.183,C1,186.926,232.82599999999996,ARRIVED,12.742999999999995,45.89999999999998,58.64299999999997
P00018,184.191,8,1,1,1.0,184.191,C1,204.12599999999998,232.82599999999996,ARRIVED,19.934999999999974,28.69999999999999,48.63499999999996
P00019,186.315,2,1,1,1.0,186.315,C2,191.315,234.71499999999997,ARRIVED,5.0,43.39999999999998,48.39999999999998
P00020,188.24,7,1,1,1.0,188.24,C2,208.515,234.71499999999997,ARRIVED,20.274999999999977,26.19999999999999,46.474999999999966
P00021,192.01,7,1,1,1.0,192.01,C1,211.32599999999996,232.82599999999996,ARRIVED,19.315999999999974,21.5,40.815999999999974
P00022,194.526,5,1,1,1.0,194.526,C2,218.21499999999997,234.71499999999997,ARRIVED,23.688999999999965,16.5,40.188999999999965
P00023,211.317,3,1,1,1.0,211.317,C3,218.817,229.117,ARRIVED,7.5,10.299999999999983,17.799999999999983
P00024,214.539,5,1,1,1.0,214.539,C1,246.82599999999996,282.42599999999993,ARRIVED,32.28699999999998,35.599999999999966,67.88699999999994
P00025,217.104,8,1,1,1.0,217.104,C1,259.02599999999995,282.42599999999993,ARRIVED,41.92199999999994,23.399999999999977,65.32199999999992
P00026,222.277,3,1,1,1.0,222.277,C3,238.117,252.71699999999996,ARRIVED,15.840000000000003,14.599999999999966,30.43999999999997
P00027,224.724,5,1,1,1.0,224.724,C2,248.71499999999997,284.61499999999995,ARRIVED,23.990999999999985,35.89999999999998,59.89099999999996
P00028,224.82,4,1,1,1.0,224.82,C2,270.61499999999995,284.61499999999995,ARRIVED,45.79499999999996,14.0,59.79499999999996
P00029,228.636,7,1,1,1.0,228.636,C2,258.41499999999996,284.61499999999995,ARRIVED,29.778999999999968,26.19999999999999,55.97899999999996
P00030,240.229,3,1,1,1.0,240.229,C3,241.81699999999998,252.71699999999996,ARRIVED,1.5879999999999654,10.899999999999977,12.487999999999943
P00031,255.74,2,1,1,1.0,255.74,C3,260.74,268.54,ARRIVED,5.0,7.800000000000011,12.800000000000011
P00032,266.722,2,1,1,1.0,266.722,C3,275.04,282.84000000000003,ARRIVED,8.31800000000004,7.800000000000011,16.118000000000052
P00033,282.485,2,1,1,1.0,282.485,C1,288.92599999999993,301.0259999999999,ARRIVED,6.440999999999917,12.099999999999966,18.540999999999883
P00034,288.762,2,1,1,1.0,288.762,C1,288.92599999999993,301.0259999999999,ARRIVED,0.16399999999993042,12.099999999999966,12.263999999999896
P00035,307.733,3,1,1,1.0,307.733,C1,315.233,330.83299999999997,ARRIVED,7.5,15.599999999999966,23.099999999999966
P00036,310.081,2,1,1,1.0,310.081,C1,322.433,330.83299999999997,ARRIVED,12.351999999999975,8.399999999999977,20.751999999999953
P00037,332.599,3,1,1,1.0,332.599,C1,340.099,350.399,ARRIVED,7.5,10.300000000000011,17.80000000000001
P00038,338.494,3,1,1,1.0,338.494,C2,345.994,356.29400000000004,ARRIVED,7.5,10.300000000000011,17.80000000000001
P00039,345.973,6,1,1,1.0,345.973,C1,366.899,399.99899999999997,ARRIVED,20.925999999999988,33.099999999999966,54.025999999999954
P00040,349.89,2,1,1,1.0,349.89,C2,362.79400000000004,426.49399999999997,ARRIVED,12.904000000000053,63.69999999999993,76.60399999999998
P00041,353.769,8,1,1,1.0,353.769,C2,382.494,426.49399999999997,ARRIVED,28.725000000000023,43.99999999999994,72.72499999999997
P00042,355.789,8,1,1,1.0,355.789,C1,376.599,399.99899999999997,ARRIVED,20.810000000000002,23.399999999999977,44.20999999999998
P00043,372.681,2,1,1,1.0,372.681,C2,402.194,426.49399999999997,ARRIVED,29.513000000000034,24.299999999999955,53.81299999999999
P00044,379.915,4,1,1,1.0,379.915,C2,411.894,426.49399999999997,ARRIVED,31.978999999999985,14.599999999999966,46.57899999999995
P00045,394.066,5,1,1,1.0,394.066,C1,413.99899999999997,444.89899999999994,ARRIVED,19.932999999999993,30.899999999999977,50.83299999999997
P00046,397.01,4,1,1,1.0,397.01,C3,407.01,461.00999999999993,ARRIVED,10.0,53.99999999999994,63.99999999999994
P00047,399.11,5,1,1,1.0,399.11,C3,414.21,461.00999999999993,ARRIVED,15.099999999999966,46.799999999999955,61.89999999999992
P00048,401.023,6,1,1,1.0,401.023,C3,421.40999999999997,461.00999999999993,ARRIVED,20.386999999999944,39.599999999999966,59.98699999999991
P00049,413.482,6,1,1,1.0,413.482,C1,421.19899999999996,444.89899999999994,ARRIVED,7.716999999999928,23.69999999999999,31.416999999999916
P00050,418.051,5,1,1,1.0,418.051,C1,428.39899999999994,444.89899999999994,ARRIVED,10.347999999999956,16.5,26.847999999999956
P00051,422.379,7,1,1,1.0,422.379,C3,428.60999999999996,461.00999999999993,ARRIVED,6.230999999999938,32.39999999999998,38.630999999999915
P00052,428.596,8,1,1,1.0,428.596,C3,435.80999999999995,461.00999999999993,ARRIVED,7.213999999999942,25.19999999999999,32.41399999999993
P00053,436.591,5,1,1,1.0,436.591,C1,458.89899999999994,484.7989999999999,ARRIVED,22.307999999999936,25.899999999999977,48.20799999999991
P00054,446.859,4,1,1,1.0,446.859,C1,466.09899999999993,484.7989999999999,ARRIVED,19.239999999999952,18.69999999999999,37.93999999999994
P00055,462.673,3,1,1,1.0,462.673,C1,473.2989999999999,484.7989999999999,ARRIVED,10.62599999999992,11.5,22.12599999999992
P00056,462.674,3,1,1,1.0,462.674,C2,470.174,490.77399999999994,ARRIVED,7.5,20.599999999999966,28.099999999999966
P00057,464.902,4,1,1,1.0,464.902,C2,477.37399999999997,490.77399999999994,ARRIVED,12.47199999999998,13.399999999999977,25.871999999999957
P00058,484.554,6,1,1,1.0,484.554,C2,507.27399999999994,529.374,ARRIVED,22.71999999999997,22.10000000000008,44.82000000000005
P00059,507.866,6,1,1,1.0,507.866,C2,510.97399999999993,529.374,ARRIVED,3.1079999999999472,18.40000000000009,21.508000000000038
P00060,511.017,3,1,1,1.0,511.017,C1,518.517,528.8170000000001,ARRIVED,7.500000000000057,10.300000000000068,17.800000000000125
P00061,535.297,3,1,1,1.0,535.297,C1,542.797,563.3970000000002,ARRIVED,7.5,20.600000000000136,28.100000000000136
