time,call_id,passenger_id,origin_floor,destination_floor,car_id
3.814,CALL000001,P00001,8,1,C1
7.4,CALL000002,P00002,4,1,C1
18.768,CALL000003,P00003,5,1,C2
40.145,CALL000004,P00004,8,1,C2
41.195,CALL000005,P00005,8,1,C2
43.166,CALL000006,P00006,5,1,C1
49.812,CALL000007,P00007,4,1,C2
56.397,CALL000008,P00008,4,1,C1
70.777,CALL000009,P00009,7,1,C3
79.095,CALL000010,P00010,2,1,C3
87.581,CALL000011,P00011,2,1,C1
87.636,CALL000012,P00012,3,1,C2
91.201,CALL000013,P00013,5,1,C3
97.822,CALL000014,P00014,4,1,C1
125.77,CALL000015,P00015,6,1,C3
126.221,CALL000016,P00016,3,1,C1
126.434,CALL000017,P00017,4,1,C2
131.716,CALL000018,P00018,8,1,C1
145.317,CALL000019,P00019,8,1,C2
150.255,CALL000020,P00020,5,1,C3
154.239,CALL000021,P00021,3,1,C2
154.289,CALL000022,P00022,2,1,C2
154.449,CALL000023,P00023,3,1,C2
160.552,CALL000024,P00024,4,1,C3
178.61,CALL000025,P00025,3,1,C1
180.338,CALL000026,P00026,4,1,C1
188.214,CALL000027,P00027,2,1,C3
197.144,CALL000028,P00028,5,1,C1
208.31,CALL000029,P00029,5,1,C3
211.173,CALL000030,P00030,5,1,C2
239.441,CALL000031,P00031,7,1,C3
268.078,CALL000032,P00032,3,1,C1
268.458,CALL000033,P00033,7,1,C3
272.316,CALL000034,P00034,2,1,C1
276.445,CALL000035,P00035,2,1,C2
285.178,CALL000036,P00036,4,1,C1
286.507,CALL000037,P00037,3,1,C2
287.622,CALL000038,P00038,3,1,C3
287.987,CALL000039,P00039,7,1,C1
290.237,CALL000040,P00040,5,1,C3
293.124,CALL000041,P00041,7,1,C2
298.081,CALL000042,P00042,2,1,C1
313.057,CALL000043,P00043,6,1,C2
314.916,CALL000044,P00044,4,1,C3
323.095,CALL000045,P00045,8,1,C2
325.856,CALL000046,P00046,5,1,C3
379.03,CALL000047,P00047,6,1,C2
403.771,CALL000048,P00048,4,1,C2
408.587,CALL000049,P00049,2,1,C1
409.857,CALL000050,P00050,4,1,C1
430.854,CALL000051,P00051,3,1,C1
432.646,CALL000052,P00052,7,1,C2
435.361,CALL000053,P00053,4,1,C2
437.095,CALL000054,P00054,2,1,C3
438.43,CALL000055,P00055,7,1,C2
449.727,CALL000056,P00056,4,1,C1
450.459,CALL000057,P00057,8,1,C1
452.912,CALL000058,P00058,7,1,C1
456.846,CALL000059,P00059,8,1,C2
456.944,CALL000060,P00060,8,1,C2
471.856,CALL000061,P00061,3,1,C3
480.018,CALL000062,P00062,7,1,C2
497.063,CALL000063,P00063,8,1,C1
505.178,CALL000064,P00064,6,1,C1
505.24,CALL000065,P00065,8,1,C1
511.661,CALL000066,P00066,2,1,C2
516.101,CALL000067,P00067,7,1,C3
523.221,CALL000068,P00068,7,1,C2
528.26,CALL000069,P00069,5,1,C2
528.834,CALL000070,P00070,4,1,C3
530.063,CALL000071,P00071,3,1,C3
560.105,CALL000072,P00072,8,1,C3
565.517,CALL000073,P00073,8,1,C2
583.229,CALL000074,P00074,7,1,C1
586.134,CALL000075,P00075,4,1,C1
591.037,CALL000076,P00076,7,1,C3
592.871,CALL000077,P00077,2,1,C2
592.931,CALL000078,P00078,8,1,C3
593.706,CALL000079,P00079,2,1,C2
593.979,CALL000080,P00080,3,1,C2
619.156,CALL000081,P00081,7,1,C1
629.595,CALL000082,P00082,8,1,C2
632.25,CALL000083,P00083,2,1,C1
