passenger_id,hall_arrival_time,origin_floor,destination_floor,group_size,luggage_factor,call_time,assigned_car_id,board_time,arrival_time,status,waiting_time,ride_time,total_service_time
P00001,0.315,5,1,1,1.0,0.315,C1,12.815,33.415000000000006,ARRIVED,12.5,20.60000000000001,33.10000000000001
P00002,9.192,2,1,1,1.0,9.192,C1,25.015,33.415000000000006,ARRIVED,15.823,8.400000000000006,24.223000000000006
P00003,9.973,4,1,1,1.0,9.973,C2,19.973,38.073,ARRIVED,9.999999999999998,18.1,28.1
P00004,13.968,2,1,1,1.0,13.968,C2,29.673,38.073,ARRIVED,15.704999999999998,8.400000000000002,24.105
P00005,16.936,2,1,1,1.0,16.936,C3,21.936,29.736,ARRIVED,5.0,7.800000000000001,12.8
P00006,19.998,8,1,1,1.0,19.998,C1,54.915000000000006,82.015,ARRIVED,34.917,27.099999999999994,62.016999999999996
P00007,28.881,4,1,1,1.0,28.881,C3,41.236000000000004,54.03600000000001,ARRIVED,12.355000000000004,12.800000000000004,25.15500000000001
P00008,44.026,3,1,1,1.0,44.026,C3,63.03600000000001,103.63600000000002,ARRIVED,19.010000000000005,40.600000000000016,59.61000000000002
P00009,49.535,8,1,1,1.0,49.535,C3,80.23600000000002,103.63600000000002,ARRIVED,30.701000000000022,23.400000000000006,54.10100000000003
P00010,54.296,8,1,1,1.0,54.296,C1,54.915000000000006,82.015,ARRIVED,0.6190000000000069,27.099999999999994,27.719
P00011,75.099,6,1,1,1.0,75.099,C1,98.515,121.61500000000001,ARRIVED,23.415999999999997,23.10000000000001,46.516000000000005
P00012,83.116,2,1,1,1.0,83.116,C2,88.116,95.916,ARRIVED,5.0,7.799999999999997,12.799999999999997
P00013,89.9,4,1,1,1.0,89.9,C1,108.215,121.61500000000001,ARRIVED,18.314999999999998,13.400000000000006,31.715000000000003
P00014,90.903,4,1,1,1.0,90.903,C2,107.416,124.516,ARRIVED,16.51299999999999,17.10000000000001,33.613
P00015,94.866,5,1,1,1.0,94.866,C3,117.63600000000002,148.23600000000002,ARRIVED,22.770000000000024,30.599999999999994,53.37000000000002
P00016,99.854,4,1,1,1.0,99.854,C2,107.416,124.516,ARRIVED,7.561999999999998,17.10000000000001,24.662000000000006
P00017,104.302,7,1,1,1.0,104.302,C1,140.615,160.915,ARRIVED,36.313,20.299999999999983,56.612999999999985
P00018,108.976,7,1,1,1.0,108.976,C3,127.33600000000003,148.23600000000002,ARRIVED,18.360000000000028,20.89999999999999,39.26000000000002
P00019,130.21,8,1,1,1.0,130.21,C3,174.436,203.136,ARRIVED,44.226,28.69999999999999,72.92599999999999
P00020,134.009,7,1,1,1.0,134.009,C3,167.23600000000002,203.136,ARRIVED,33.22700000000003,35.89999999999998,69.12700000000001
P00021,147.192,8,1,1,1.0,147.192,C1,182.415,210.51499999999996,ARRIVED,35.222999999999985,28.099999999999966,63.32299999999995
P00022,159.918,4,1,1,1.0,159.918,C2,169.918,188.01799999999997,ARRIVED,10.0,18.099999999999966,28.099999999999966
P00023,164.315,4,1,1,1.0,164.315,C1,197.11499999999998,210.51499999999996,ARRIVED,32.79999999999998,13.399999999999977,46.19999999999996
P00024,169.441,2,1,1,1.0,169.441,C2,179.618,188.01799999999997,ARRIVED,10.176999999999992,8.399999999999977,18.57699999999997
P00025,170.269,6,1,1,1.0,170.269,C3,184.136,203.136,ARRIVED,13.86699999999999,19.0,32.86699999999999
