time,call_id,passenger_id,origin_floor,destination_floor,car_id
0.111,CALL000001,P00001,7,1,C2
8.882,CALL000002,P00002,7,1,C1
42.315,CALL000003,P00003,2,1,C3
46.121,CALL000004,P00004,6,1,C3
61.051,CALL000005,P00005,6,1,C3
77.807,CALL000006,P00006,3,1,C1
90.626,CALL000007,P00007,2,1,C1
95.252,CALL000008,P00008,6,1,C3
102.864,CALL000009,P00009,7,1,C1
108.181,CALL000010,P00010,8,1,C1
125.725,CALL000011,P00011,5,1,C3
126.905,CALL000012,P00012,7,1,C1
144.46,CALL000013,P00013,4,1,C3
149.371,CALL000014,P00014,3,1,C2
160.813,CALL000015,P00015,4,1,C1
166.945,CALL000016,P00016,2,1,C2
174.183,CALL000017,P00017,3,1,C1
184.191,CALL000018,P00018,8,1,C3
186.315,CALL000019,P00019,2,1,C1
188.24,CALL000020,P00020,7,1,C3
192.01,CALL000021,P00021,7,1,C2
194.526,CALL000022,P00022,5,1,C2
211.317,CALL000023,P00023,3,1,C3
214.539,CALL000024,P00024,5,1,C1
217.104,CALL000025,P00025,8,1,C1
222.277,CALL000026,P00026,3,1,C2
224.724,CALL000027,P00027,5,1,C2
224.82,CALL000028,P00028,4,1,C2
228.636,CALL000029,P00029,7,1,C3
240.229,CALL000030,P00030,3,1,C3
255.74,CALL000031,P00031,2,1,C1
266.722,CALL000032,P00032,2,1,C2
282.485,CALL000033,P00033,2,1,C2
288.762,CALL000034,P00034,2,1,C2
307.733,CALL000035,P00035,3,1,C3
310.081,CALL000036,P00036,2,1,C1
332.599,CALL000037,P00037,3,1,C3
338.494,CALL000038,P00038,3,1,C2
345.973,CALL000039,P00039,6,1,C3
349.89,CALL000040,P00040,2,1,C1
353.769,CALL000041,P00041,8,1,C2
355.789,CALL000042,P00042,8,1,C1
372.681,CALL000043,P00043,2,1,C1
379.915,CALL000044,P00044,4,1,C3
394.066,CALL000045,P00045,5,1,C2
397.01,CALL000046,P00046,4,1,C3
399.11,CALL000047,P00047,5,1,C3
401.023,CALL000048,P00048,6,1,C3
413.482,CALL000049,P00049,6,1,C3
418.051,CALL000050,P00050,5,1,C2
422.379,CALL000051,P00051,7,1,C3
428.596,CALL000052,P00052,8,1,C3
