passenger_id,hall_arrival_time,origin_floor,destination_floor,group_size,luggage_factor,call_time,assigned_car_id,board_time,arrival_time,status,waiting_time,ride_time,total_service_time
P00001,3.814,8,1,1,1.0,3.814,C3,23.814,46.614,ARRIVED,20.0,22.799999999999997,42.8
P00002,7.4,4,1,1,1.0,7.4,C1,17.4,40.5,ARRIVED,9.999999999999998,23.1,33.1
P00003,18.768,5,1,1,1.0,18.768,C1,24.599999999999998,40.5,ARRIVED,5.831999999999997,15.900000000000002,21.732
P00004,40.145,8,1,1,1.0,40.145,C3,68.114,97.51400000000001,ARRIVED,27.969,29.400000000000006,57.36900000000001
P00005,41.195,8,1,1,1.0,41.195,C3,68.114,97.51400000000001,ARRIVED,26.919000000000004,29.400000000000006,56.31900000000001
P00006,43.166,5,1,1,1.0,43.166,C3,81.01400000000001,97.51400000000001,ARRIVED,37.84800000000001,16.5,54.34800000000001
P00007,49.812,4,1,1,1.0,49.812,C1,59.812,72.612,ARRIVED,10.0,12.799999999999997,22.799999999999997
P00008,56.397,4,1,1,1.0,56.397,C2,66.39699999999999,79.19699999999999,ARRIVED,9.999999999999993,12.799999999999997,22.79999999999999
P00009,70.777,7,1,1,1.0,70.777,C1,91.612,117.212,ARRIVED,20.834999999999994,25.60000000000001,46.435
P00010,79.095,2,1,1,1.0,79.095,C2,85.69699999999999,103.797,ARRIVED,6.60199999999999,18.10000000000001,24.701999999999998
P00011,87.581,2,1,1,1.0,87.581,C3,104.01400000000001,111.81400000000001,ARRIVED,16.433000000000007,7.799999999999997,24.233000000000004
P00012,87.636,3,1,1,1.0,87.636,C2,92.89699999999999,103.797,ARRIVED,5.260999999999996,10.900000000000006,16.161
P00013,91.201,5,1,1,1.0,91.201,C1,101.312,117.212,ARRIVED,10.111000000000004,15.900000000000006,26.01100000000001
P00014,97.822,4,1,1,1.0,97.822,C2,115.297,128.097,ARRIVED,17.474999999999994,12.800000000000011,30.275000000000006
P00015,125.77,6,1,1,1.0,125.77,C2,144.597,162.397,ARRIVED,18.827000000000012,17.799999999999983,36.626999999999995
P00016,126.221,3,1,1,1.0,126.221,C3,133.721,190.22099999999995,ARRIVED,7.5,56.49999999999994,63.99999999999994
P00017,126.434,4,1,1,1.0,126.434,C3,140.921,190.22099999999995,ARRIVED,14.486999999999995,49.299999999999955,63.78699999999995
P00018,131.716,8,1,1,1.0,131.716,C3,155.62099999999998,190.22099999999995,ARRIVED,23.904999999999973,34.599999999999966,58.50499999999994
P00019,145.317,8,1,1,1.0,145.317,C1,165.317,198.71699999999998,ARRIVED,20.0,33.39999999999998,53.39999999999998
P00020,150.255,5,1,1,1.0,150.255,C3,167.82099999999997,190.22099999999995,ARRIVED,17.565999999999974,22.399999999999977,39.96599999999995
P00021,154.239,3,1,1,1.0,154.239,C1,182.517,198.71699999999998,ARRIVED,28.27799999999999,16.19999999999999,44.47799999999998
P00022,154.289,2,1,1,1.0,154.289,C1,189.71699999999998,198.71699999999998,ARRIVED,35.428,9.0,44.428
P00023,154.449,3,1,1,1.0,154.449,C2,171.397,181.69699999999997,ARRIVED,16.94799999999998,10.299999999999983,27.247999999999962
P00024,160.552,4,1,1,1.0,160.552,C3,175.02099999999996,190.22099999999995,ARRIVED,14.468999999999966,15.199999999999989,29.668999999999954
P00025,178.61,3,1,1,1.0,178.61,C2,190.69699999999997,206.29699999999994,ARRIVED,12.08699999999996,15.599999999999966,27.686999999999927
P00026,180.338,4,1,1,1.0,180.338,C3,201.72099999999995,214.52099999999993,ARRIVED,21.382999999999953,12.799999999999983,34.182999999999936
P00027,188.214,2,1,1,1.0,188.214,C2,197.89699999999996,206.29699999999994,ARRIVED,9.682999999999964,8.399999999999977,18.08299999999994
P00028,197.144,5,1,1,1.0,197.144,C1,212.71699999999998,228.01699999999997,ARRIVED,15.572999999999979,15.299999999999983,30.872999999999962
P00029,208.31,5,1,1,1.0,208.31,C3,228.52099999999993,245.12099999999992,ARRIVED,20.210999999999927,16.599999999999994,36.81099999999992
P00030,211.173,5,1,1,1.0,211.173,C3,228.52099999999993,245.12099999999992,ARRIVED,17.347999999999928,16.599999999999994,33.94799999999992
P00031,239.441,7,1,1,1.0,239.441,C3,264.1209999999999,284.42099999999994,ARRIVED,24.67999999999992,20.30000000000001,44.97999999999993
P00032,268.078,3,1,1,1.0,268.078,C1,275.578,331.7779999999999,ARRIVED,7.5,56.19999999999993,63.69999999999993
P00033,268.458,7,1,1,1.0,268.458,C1,290.27799999999996,331.7779999999999,ARRIVED,21.819999999999936,41.49999999999994,63.31999999999988
P00034,272.316,2,1,1,1.0,272.316,C2,277.316,289.41599999999994,ARRIVED,5.0,12.099999999999966,17.099999999999966
P00035,276.445,2,1,1,1.0,276.445,C2,277.316,289.41599999999994,ARRIVED,0.8709999999999809,12.099999999999966,12.970999999999947
P00036,285.178,4,1,1,1.0,285.178,C2,300.91599999999994,319.0159999999999,ARRIVED,15.737999999999943,18.099999999999966,33.83799999999991
P00037,286.507,3,1,1,1.0,286.507,C3,294.007,339.20699999999994,ARRIVED,7.5,45.19999999999993,52.69999999999993
P00038,287.622,3,1,1,1.0,287.622,C3,294.007,339.20699999999994,ARRIVED,6.384999999999991,45.19999999999993,51.58499999999992
P00039,287.987,7,1,1,1.0,287.987,C3,312.407,339.20699999999994,ARRIVED,24.41999999999996,26.799999999999955,51.219999999999914
P00040,290.237,5,1,1,1.0,290.237,C1,299.97799999999995,331.7779999999999,ARRIVED,9.740999999999929,31.799999999999955,41.54099999999988
P00041,293.124,7,1,1,1.0,293.124,C1,309.67799999999994,331.7779999999999,ARRIVED,16.553999999999917,22.099999999999966,38.65399999999988
P00042,298.081,2,1,1,1.0,298.081,C2,310.61599999999993,319.0159999999999,ARRIVED,12.534999999999911,8.399999999999977,20.93499999999989
P00043,313.057,6,1,1,1.0,313.057,C3,319.60699999999997,339.20699999999994,ARRIVED,6.5499999999999545,19.599999999999966,26.14999999999992
P00044,314.916,4,1,1,1.0,314.916,C2,330.5159999999999,343.3159999999999,ARRIVED,15.599999999999909,12.800000000000011,28.39999999999992
P00045,323.095,8,1,1,1.0,323.095,C3,360.70699999999994,383.50699999999995,ARRIVED,37.61199999999991,22.80000000000001,60.41199999999992
P00046,325.856,5,1,1,1.0,325.856,C1,345.7779999999999,361.0779999999999,ARRIVED,19.921999999999912,15.300000000000011,35.22199999999992
P00047,379.03,6,1,1,1.0,379.03,C3,400.00699999999995,417.80699999999996,ARRIVED,20.976999999999975,17.80000000000001,38.77699999999999
P00048,403.771,4,1,1,1.0,403.771,C3,429.30699999999996,447.4069999999999,ARRIVED,25.535999999999945,18.099999999999966,43.63599999999991
P00049,408.587,2,1,1,1.0,408.587,C2,413.587,421.387,ARRIVED,5.0,7.800000000000011,12.800000000000011
P00050,409.857,4,1,1,1.0,409.857,C1,419.857,432.65700000000004,ARRIVED,10.0,12.800000000000011,22.80000000000001
P00051,430.854,3,1,1,1.0,430.854,C3,436.50699999999995,447.4069999999999,ARRIVED,5.652999999999963,10.899999999999977,16.55299999999994
P00052,432.646,7,1,1,1.0,432.646,C2,450.146,496.946,ARRIVED,17.5,46.80000000000001,64.30000000000001
P00053,435.361,4,1,1,1.0,435.361,C3,458.9069999999999,471.70699999999994,ARRIVED,23.545999999999935,12.800000000000011,36.34599999999995
P00054,437.095,2,1,1,1.0,437.095,C1,442.095,480.195,ARRIVED,5.0,38.099999999999966,43.099999999999966
P00055,438.43,7,1,1,1.0,438.43,C1,459.295,480.195,ARRIVED,20.86500000000001,20.899999999999977,41.764999999999986
P00056,449.727,4,1,1,1.0,449.727,C2,481.146,496.946,ARRIVED,31.41900000000004,15.800000000000011,47.21900000000005
P00057,450.459,8,1,1,1.0,450.459,C2,457.346,496.946,ARRIVED,6.8870000000000005,39.60000000000002,46.48700000000002
P00058,452.912,7,1,1,1.0,452.912,C2,468.946,496.946,ARRIVED,16.03400000000005,28.0,44.03400000000005
P00059,456.846,8,1,1,1.0,456.846,C2,457.346,496.946,ARRIVED,0.5,39.60000000000002,40.10000000000002
P00060,456.944,8,1,1,1.0,456.944,C2,457.346,496.946,ARRIVED,0.4019999999999868,39.60000000000002,40.00200000000001
P00061,471.856,3,1,1,1.0,471.856,C3,480.70699999999994,526.6069999999999,ARRIVED,8.850999999999942,45.89999999999992,54.75099999999986
P00062,480.018,7,1,1,1.0,480.018,C3,495.4069999999999,526.6069999999999,ARRIVED,15.388999999999953,31.199999999999932,46.588999999999885
P00063,497.063,8,1,1,1.0,497.063,C3,502.6069999999999,526.6069999999999,ARRIVED,5.543999999999926,23.999999999999943,29.54399999999987
P00064,505.178,6,1,1,1.0,505.178,C3,557.8069999999999,576.207,ARRIVED,52.628999999999905,18.40000000000009,71.029
P00065,505.24,8,1,1,1.0,505.24,C3,548.1069999999999,576.207,ARRIVED,42.86699999999985,28.100000000000136,70.96699999999998
P00066,511.661,2,1,1,1.0,511.661,C1,516.6610000000001,575.3610000000002,ARRIVED,5.000000000000057,58.70000000000016,63.700000000000216
P00067,516.101,7,1,1,1.0,516.101,C1,533.8610000000001,575.3610000000002,ARRIVED,17.760000000000105,41.500000000000114,59.26000000000022
P00068,523.221,7,1,1,1.0,523.221,C2,540.721,566.3210000000001,ARRIVED,17.5,25.600000000000136,43.100000000000136
P00069,528.26,5,1,1,1.0,528.26,C1,558.2610000000002,575.3610000000002,ARRIVED,30.001000000000204,17.100000000000023,47.10100000000023
P00070,528.834,4,1,1,1.0,528.834,C2,552.921,566.3210000000001,ARRIVED,24.087000000000103,13.400000000000091,37.487000000000194
P00071,530.063,3,1,1,1.0,530.063,C1,548.5610000000001,575.3610000000002,ARRIVED,18.49800000000016,26.800000000000068,45.29800000000023
P00072,560.105,8,1,1,1.0,560.105,C3,597.707,625.8070000000001,ARRIVED,37.601999999999975,28.100000000000136,65.70200000000011
P00073,565.517,8,1,1,1.0,565.517,C1,596.8610000000002,624.9610000000004,ARRIVED,31.344000000000165,28.100000000000136,59.4440000000003
P00074,583.229,7,1,1,1.0,583.229,C2,600.729,643.2290000000002,ARRIVED,17.5,42.500000000000114,60.000000000000114
P00075,586.134,4,1,1,1.0,586.134,C1,611.5610000000003,624.9610000000004,ARRIVED,25.42700000000025,13.400000000000091,38.82700000000034
P00076,591.037,7,1,1,1.0,591.037,C3,604.907,625.8070000000001,ARRIVED,13.870000000000005,20.90000000000009,34.770000000000095
P00077,592.871,2,1,1,1.0,592.871,C2,632.3290000000002,643.2290000000002,ARRIVED,39.4580000000002,10.899999999999977,50.358000000000175
P00078,592.931,8,1,1,1.0,592.931,C2,607.9290000000001,643.2290000000002,ARRIVED,14.998000000000047,35.30000000000007,50.298000000000116
P00079,593.706,2,1,1,1.0,593.706,C2,632.3290000000002,643.2290000000002,ARRIVED,38.62300000000016,10.899999999999977,49.52300000000014
P00080,593.979,3,1,1,1.0,593.979,C2,625.1290000000001,643.2290000000002,ARRIVED,31.15000000000009,18.100000000000023,49.250000000000114
P00081,619.156,7,1,1,1.0,619.156,C3,644.8070000000001,665.1070000000002,ARRIVED,25.65100000000018,20.300000000000068,45.95100000000025
P00082,629.595,8,1,1,1.0,629.595,C1,649.595,682.9950000000001,ARRIVED,20.0,33.40000000000009,53.40000000000009
P00083,632.25,2,1,1,1.0,632.25,C1,673.9950000000001,682.9950000000001,ARRIVED,41.74500000000012,9.0,50.74500000000012
P00084,636.641,7,1,1,1.0,636.641,C2,666.9290000000002,697.4290000000002,ARRIVED,30.28800000000024,30.5,60.78800000000024
