passenger_id,hall_arrival_time,origin_floor,destination_floor,group_size,luggage_factor,call_time,assigned_car_id,board_time,arrival_time,status,waiting_time,ride_time,total_service_time
P00001,3.862,6,1,1,1.0,3.862,C1,18.862000000000002,36.662,ARRIVED,15.000000000000002,17.799999999999997,32.8
P00002,11.623,5,1,1,1.0,11.623,C2,24.122999999999998,39.422999999999995,ARRIVED,12.499999999999998,15.299999999999997,27.799999999999997
P00003,15.436,4,1,1,1.0,15.436,C3,25.436,43.536,ARRIVED,10.0,18.1,28.1
P00004,20.59,2,1,1,1.0,20.59,C3,35.135999999999996,43.536,ARRIVED,14.545999999999996,8.400000000000006,22.946
P00005,37.436,7,1,1,1.0,37.436,C3,62.536,82.836,ARRIVED,25.1,20.299999999999997,45.4
P00006,44.152,4,1,1,1.0,44.152,C1,54.152,92.552,ARRIVED,10.0,38.400000000000006,48.400000000000006
P00007,47.544,2,1,1,1.0,47.544,C2,52.544,106.24400000000001,ARRIVED,5.0,53.70000000000002,58.70000000000002
P00008,47.608,8,1,1,1.0,47.608,C2,76.944,106.24400000000001,ARRIVED,29.336000000000006,29.30000000000001,58.63600000000002
P00009,51.772,7,1,1,1.0,51.772,C1,71.052,92.552,ARRIVED,19.28000000000001,21.5,40.78000000000001
P00010,54.421,6,1,1,1.0,54.421,C1,63.852000000000004,92.552,ARRIVED,9.431000000000004,28.700000000000003,38.13100000000001
P00011,54.44,3,1,1,1.0,54.44,C2,59.744,106.24400000000001,ARRIVED,5.304000000000002,46.500000000000014,51.804000000000016
P00012,64.475,4,1,1,1.0,64.475,C2,91.644,106.24400000000001,ARRIVED,27.16900000000001,14.600000000000009,41.76900000000002
P00013,77.692,4,1,1,1.0,77.692,C1,113.75200000000001,127.15200000000002,ARRIVED,36.06000000000002,13.400000000000006,49.46000000000002
P00014,81.253,5,1,1,1.0,81.253,C1,106.552,127.15200000000002,ARRIVED,25.299000000000007,20.60000000000001,45.899000000000015
P00015,94.799,5,1,1,1.0,94.799,C3,107.299,122.599,ARRIVED,12.5,15.299999999999997,27.799999999999997
P00016,107.111,7,1,1,1.0,107.111,C2,125.24400000000001,145.544,ARRIVED,18.13300000000001,20.299999999999997,38.43300000000001
P00017,113.338,5,1,1,1.0,113.338,C3,136.599,157.19899999999996,ARRIVED,23.260999999999996,20.599999999999966,43.86099999999996
P00018,114.526,2,1,1,1.0,114.526,C3,148.79899999999998,157.19899999999996,ARRIVED,34.27299999999998,8.399999999999977,42.67299999999996
P00019,126.692,5,1,1,1.0,126.692,C1,141.15200000000002,161.75199999999998,ARRIVED,14.460000000000022,20.599999999999966,35.05999999999999
P00020,135.058,3,1,1,1.0,135.058,C1,150.852,161.75199999999998,ARRIVED,15.794000000000011,10.899999999999977,26.69399999999999
P00021,138.723,3,1,1,1.0,138.723,C2,154.544,164.844,ARRIVED,15.820999999999998,10.299999999999983,26.12099999999998
P00022,154.915,4,1,1,1.0,154.915,C1,173.25199999999998,210.65199999999996,ARRIVED,18.33699999999999,37.39999999999998,55.736999999999966
P00023,167.277,7,1,1,1.0,167.277,C1,185.45199999999997,210.65199999999996,ARRIVED,18.174999999999983,25.19999999999999,43.37499999999997
P00024,172.231,6,1,1,1.0,172.231,C2,187.231,205.03099999999998,ARRIVED,15.0,17.799999999999983,32.79999999999998
P00025,174.27,6,1,1,1.0,174.27,C3,189.27,216.67,ARRIVED,15.0,27.399999999999977,42.39999999999998
P00026,174.312,2,1,1,1.0,174.312,C3,203.97,216.67,ARRIVED,29.657999999999987,12.699999999999989,42.357999999999976
P00027,185.948,7,1,1,1.0,185.948,C1,189.15199999999996,210.65199999999996,ARRIVED,3.203999999999951,21.5,24.70399999999995
P00028,198.56,3,1,1,1.0,198.56,C2,214.03099999999998,265.2309999999999,ARRIVED,15.470999999999975,51.1999999999999,66.67099999999988
P00029,200.742,6,1,1,1.0,200.742,C1,227.15199999999996,249.25199999999992,ARRIVED,26.409999999999968,22.099999999999966,48.509999999999934
P00030,204.307,5,1,1,1.0,204.307,C2,223.73099999999997,265.2309999999999,ARRIVED,19.423999999999978,41.499999999999915,60.92399999999989
P00031,206.147,2,1,1,1.0,206.147,C3,207.67,216.67,ARRIVED,1.5229999999999961,9.0,10.522999999999996
P00032,211.14,2,1,1,1.0,211.14,C3,223.17,230.96999999999997,ARRIVED,12.030000000000001,7.799999999999983,19.829999999999984
P00033,222.555,7,1,1,1.0,222.555,C2,233.43099999999995,265.2309999999999,ARRIVED,10.875999999999948,31.799999999999926,42.675999999999874
P00034,223.823,8,1,1,1.0,223.823,C2,240.63099999999994,265.2309999999999,ARRIVED,16.807999999999936,24.599999999999937,41.40799999999987
P00035,228.268,6,1,1,1.0,228.268,C1,230.85199999999995,249.25199999999992,ARRIVED,2.5839999999999463,18.399999999999977,20.983999999999924
P00036,248.274,6,1,1,1.0,248.274,C2,281.7309999999999,306.13099999999986,ARRIVED,33.45699999999988,24.399999999999977,57.85699999999986
P00037,249.232,5,1,1,1.0,249.232,C2,289.63099999999986,306.13099999999986,ARRIVED,40.39899999999986,16.5,56.89899999999986
P00038,255.096,2,1,1,1.0,255.096,C1,260.096,267.896,ARRIVED,5.0,7.800000000000011,12.800000000000011
P00039,257.773,6,1,1,1.0,257.773,C2,281.7309999999999,306.13099999999986,ARRIVED,23.957999999999856,24.399999999999977,48.357999999999834
P00040,262.401,7,1,1,1.0,262.401,C1,286.896,319.09599999999995,ARRIVED,24.495000000000005,32.19999999999993,56.694999999999936
P00041,287.385,4,1,1,1.0,287.385,C1,299.096,319.09599999999995,ARRIVED,11.711000000000013,19.999999999999943,31.710999999999956
P00042,288.671,4,1,1,1.0,288.671,C1,299.096,319.09599999999995,ARRIVED,10.425000000000011,19.999999999999943,30.424999999999955
P00043,294.711,3,1,1,1.0,294.711,C1,306.996,319.09599999999995,ARRIVED,12.284999999999968,12.099999999999966,24.384999999999934
P00044,310.057,7,1,1,1.0,310.057,C1,338.09599999999995,358.39599999999996,ARRIVED,28.03899999999993,20.30000000000001,48.33899999999994
P00045,311.646,6,1,1,1.0,311.646,C2,326.646,354.746,ARRIVED,15.0,28.099999999999966,43.099999999999966
P00046,319.135,6,1,1,1.0,319.135,C3,334.135,357.53499999999997,ARRIVED,15.0,23.399999999999977,38.39999999999998
P00047,319.811,6,1,1,1.0,319.811,C3,334.135,357.53499999999997,ARRIVED,14.324000000000012,23.399999999999977,37.72399999999999
P00048,325.024,7,1,1,1.0,325.024,C2,333.846,354.746,ARRIVED,8.822000000000003,20.899999999999977,29.72199999999998
P00049,335.493,6,1,1,1.0,335.493,C3,338.53499999999997,357.53499999999997,ARRIVED,3.041999999999973,19.0,22.041999999999973
P00050,340.525,5,1,1,1.0,340.525,C1,372.39599999999996,391.9959999999999,ARRIVED,31.87099999999998,19.599999999999966,51.47099999999995
P00051,359.672,2,1,1,1.0,359.672,C2,364.672,372.47200000000004,ARRIVED,5.0,7.800000000000011,12.800000000000011
P00052,371.484,5,1,1,1.0,371.484,C1,372.39599999999996,391.9959999999999,ARRIVED,0.9119999999999777,19.599999999999966,20.511999999999944
P00053,378.953,5,1,1,1.0,378.953,C1,405.9959999999999,422.5959999999999,ARRIVED,27.04299999999995,16.599999999999966,43.642999999999915
P00054,388.052,5,1,1,1.0,388.052,C1,405.9959999999999,422.5959999999999,ARRIVED,17.943999999999903,16.599999999999966,34.54399999999987
