passenger_id,hall_arrival_time,origin_floor,destination_floor,group_size,luggage_factor,call_time,assigned_car_id,board_time,arrival_time,status,waiting_time,ride_time,total_service_time
P00001,18.131,5,1,1,1.0,18.131,C1,30.631,45.931000000000004,ARRIVED,12.5,15.300000000000004,27.800000000000004
P00002,42.883,7,1,1,1.0,42.883,C3,60.383,84.983,ARRIVED,17.5,24.6,42.1
P00003,45.828,3,1,1,1.0,45.828,C1,54.931000000000004,65.231,ARRIVED,9.103000000000002,10.29999999999999,19.40299999999999
P00004,60.456,7,1,1,1.0,60.456,C3,64.083,84.983,ARRIVED,3.6269999999999953,20.900000000000006,24.527
P00005,68.482,7,1,1,1.0,68.482,C3,103.983,145.18300000000002,ARRIVED,35.501000000000005,41.20000000000002,76.70100000000002
P00006,75.614,5,1,1,1.0,75.614,C3,113.683,145.18300000000002,ARRIVED,38.069,31.500000000000014,69.56900000000002
P00007,82.171,8,1,1,1.0,82.171,C1,102.171,131.57100000000003,ARRIVED,20.0,29.40000000000002,49.40000000000002
P00008,89.095,4,1,1,1.0,89.095,C2,99.095,111.895,ARRIVED,10.0,12.799999999999997,22.799999999999997
P00009,95.177,4,1,1,1.0,95.177,C1,116.87100000000001,131.57100000000003,ARRIVED,21.694000000000003,14.700000000000017,36.39400000000002
P00010,95.707,4,1,1,1.0,95.707,C1,116.87100000000001,131.57100000000003,ARRIVED,21.164000000000016,14.700000000000017,35.86400000000003
P00011,101.909,3,1,1,1.0,101.909,C2,120.895,136.49499999999998,ARRIVED,18.98599999999999,15.59999999999998,34.58599999999997
P00012,102.226,2,1,1,1.0,102.226,C2,128.095,136.49499999999998,ARRIVED,25.869,8.399999999999977,34.26899999999998
P00013,108.142,4,1,1,1.0,108.142,C3,120.88300000000001,145.18300000000002,ARRIVED,12.741000000000014,24.30000000000001,37.041000000000025
P00014,119.059,5,1,1,1.0,119.059,C3,128.08300000000003,145.18300000000002,ARRIVED,9.02400000000003,17.099999999999994,26.124000000000024
P00015,134.179,5,1,1,1.0,134.179,C3,159.18300000000002,188.383,ARRIVED,25.00400000000002,29.19999999999999,54.20400000000001
P00016,150.542,3,1,1,1.0,150.542,C3,168.883,188.383,ARRIVED,18.341000000000008,19.5,37.84100000000001
P00017,155.801,7,1,1,1.0,155.801,C2,173.301,198.90099999999995,ARRIVED,17.5,25.599999999999966,43.099999999999966
P00018,159.305,2,1,1,1.0,159.305,C2,190.50099999999998,198.90099999999995,ARRIVED,31.19599999999997,8.399999999999977,39.59599999999995
P00019,168.619,3,1,1,1.0,168.619,C3,168.883,188.383,ARRIVED,0.26400000000001,19.5,19.76400000000001
P00020,172.864,3,1,1,1.0,172.864,C3,173.28300000000002,188.383,ARRIVED,0.41900000000001114,15.099999999999994,15.519000000000005
P00021,179.372,2,1,1,1.0,179.372,C1,184.372,192.172,ARRIVED,5.0,7.799999999999983,12.799999999999983
P00022,190.334,8,1,1,1.0,190.334,C3,210.334,238.43399999999997,ARRIVED,20.0,28.099999999999966,48.099999999999966
P00023,194.984,6,1,1,1.0,194.984,C2,215.40099999999995,248.50099999999992,ARRIVED,20.416999999999945,33.099999999999966,53.51699999999991
P00024,202.02,8,1,1,1.0,202.02,C2,225.10099999999994,248.50099999999992,ARRIVED,23.080999999999932,23.399999999999977,46.48099999999991
P00025,204.376,6,1,1,1.0,204.376,C1,219.376,247.77599999999998,ARRIVED,15.0,28.399999999999977,43.39999999999998
P00026,208.006,4,1,1,1.0,208.006,C1,229.076,247.77599999999998,ARRIVED,21.069999999999993,18.69999999999999,39.76999999999998
P00027,208.014,3,1,1,1.0,208.014,C3,227.534,238.43399999999997,ARRIVED,19.519999999999982,10.899999999999977,30.41999999999996
P00028,211.93,2,1,1,1.0,211.93,C1,238.77599999999998,247.77599999999998,ARRIVED,26.845999999999975,9.0,35.845999999999975
P00029,236.21,8,1,1,1.0,236.21,C2,270.0009999999999,292.80099999999993,ARRIVED,33.79099999999991,22.80000000000001,56.59099999999992
P00030,256.195,3,1,1,1.0,256.195,C3,263.695,273.995,ARRIVED,7.5,10.300000000000011,17.80000000000001
P00031,258.373,8,1,1,1.0,258.373,C1,278.373,301.173,ARRIVED,20.0,22.80000000000001,42.80000000000001
P00032,278.277,5,1,1,1.0,278.277,C2,306.80099999999993,373.90099999999984,ARRIVED,28.523999999999944,67.09999999999991,95.62399999999985
P00033,282.275,5,1,1,1.0,282.275,C1,324.873,340.77299999999997,ARRIVED,42.59800000000001,15.899999999999977,58.49799999999999
P00034,286.475,6,1,1,1.0,286.475,C1,317.673,340.77299999999997,ARRIVED,31.19799999999998,23.099999999999966,54.297999999999945
P00035,306.519,8,1,1,1.0,306.519,C2,319.0009999999999,373.90099999999984,ARRIVED,12.481999999999914,54.89999999999992,67.38199999999983
P00036,310.48,8,1,1,1.0,310.48,C2,319.0009999999999,373.90099999999984,ARRIVED,8.520999999999901,54.89999999999992,63.42099999999982
P00037,312.742,7,1,1,1.0,312.742,C3,330.242,381.44199999999995,ARRIVED,17.5,51.19999999999993,68.69999999999993
P00038,317.494,4,1,1,1.0,317.494,C3,342.442,381.44199999999995,ARRIVED,24.94799999999998,38.99999999999994,63.94799999999992
P00039,318.532,6,1,1,1.0,318.532,C2,332.4009999999999,373.90099999999984,ARRIVED,13.868999999999915,41.49999999999994,55.36899999999986
P00040,320.318,6,1,1,1.0,320.318,C2,332.4009999999999,373.90099999999984,ARRIVED,12.082999999999913,41.49999999999994,53.582999999999856
P00041,330.315,8,1,1,1.0,330.315,C2,342.8009999999999,373.90099999999984,ARRIVED,12.485999999999876,31.099999999999966,43.58599999999984
P00042,331.133,3,1,1,1.0,331.133,C1,349.77299999999997,360.073,ARRIVED,18.639999999999986,10.300000000000011,28.939999999999998
P00043,336.376,3,1,1,1.0,336.376,C2,360.00099999999986,373.90099999999984,ARRIVED,23.624999999999886,13.899999999999977,37.524999999999864
P00044,337.414,2,1,1,1.0,337.414,C3,371.842,381.44199999999995,ARRIVED,34.428,9.599999999999966,44.02799999999996
P00045,340.805,7,1,1,1.0,340.805,C3,354.642,381.44199999999995,ARRIVED,13.836999999999989,26.799999999999955,40.636999999999944
P00046,371.459,5,1,1,1.0,371.459,C1,383.959,430.15899999999993,ARRIVED,12.5,46.19999999999993,58.69999999999993
P00047,378.458,3,1,1,1.0,378.458,C3,390.44199999999995,431.3419999999999,ARRIVED,11.983999999999924,40.89999999999998,52.8839999999999
P00048,384.167,7,1,1,1.0,384.167,C1,393.659,430.15899999999993,ARRIVED,9.492000000000019,36.49999999999994,45.99199999999996
P00049,387.661,5,1,1,1.0,387.661,C1,403.359,430.15899999999993,ARRIVED,15.697999999999979,26.799999999999955,42.497999999999934
P00050,388.053,6,1,1,1.0,388.053,C1,410.55899999999997,430.15899999999993,ARRIVED,22.505999999999972,19.599999999999966,42.10599999999994
P00051,389.656,7,1,1,1.0,389.656,C3,405.14199999999994,431.3419999999999,ARRIVED,15.485999999999933,26.19999999999999,41.68599999999992
P00052,401.058,5,1,1,1.0,401.058,C3,414.8419999999999,431.3419999999999,ARRIVED,13.783999999999935,16.5,30.283999999999935
P00053,418.486,5,1,1,1.0,418.486,C3,445.3419999999999,465.9419999999999,ARRIVED,26.855999999999938,20.599999999999966,47.455999999999904
P00054,446.138,3,1,1,1.0,446.138,C3,455.0419999999999,465.9419999999999,ARRIVED,8.90399999999994,10.899999999999977,19.803999999999917
P00055,452.439,6,1,1,1.0,452.439,C1,467.439,485.23900000000003,ARRIVED,15.0,17.80000000000001,32.80000000000001
P00056,473.603,5,1,1,1.0,473.603,C2,486.103,506.703,ARRIVED,12.5,20.599999999999966,33.099999999999966
P00057,474.475,4,1,1,1.0,474.475,C3,484.475,502.575,ARRIVED,10.0,18.099999999999966,28.099999999999966
P00058,481.655,2,1,1,1.0,481.655,C3,494.175,502.575,ARRIVED,12.520000000000039,8.399999999999977,20.920000000000016
P00059,482.864,2,1,1,1.0,482.864,C2,498.303,506.703,ARRIVED,15.439000000000021,8.399999999999977,23.839
P00060,483.216,2,1,1,1.0,483.216,C1,491.73900000000003,509.839,ARRIVED,8.523000000000025,18.099999999999966,26.62299999999999
P00061,491.273,3,1,1,1.0,491.273,C1,498.939,509.839,ARRIVED,7.665999999999997,10.899999999999977,18.565999999999974
P00062,532.302,3,1,1,1.0,532.302,C3,539.802,585.7020000000001,ARRIVED,7.5,45.90000000000009,53.40000000000009
P00063,537.168,6,1,1,1.0,537.168,C1,552.168,590.5680000000001,ARRIVED,15.0,38.40000000000009,53.40000000000009
P00064,540.159,8,1,1,1.0,540.159,C3,557.0020000000001,585.7020000000001,ARRIVED,16.843000000000075,28.700000000000045,45.54300000000012
P00065,549.782,6,1,1,1.0,549.782,C3,566.7020000000001,585.7020000000001,ARRIVED,16.920000000000073,19.0,35.92000000000007
P00066,552.917,3,1,1,1.0,552.917,C1,564.368,590.5680000000001,ARRIVED,11.451000000000022,26.200000000000045,37.65100000000007
P00067,558.839,5,1,1,1.0,558.839,C1,574.0680000000001,590.5680000000001,ARRIVED,15.229000000000042,16.5,31.729000000000042
P00068,585.544,5,1,1,1.0,585.544,C1,604.5680000000001,634.4680000000002,ARRIVED,19.024000000000115,29.90000000000009,48.924000000000206
P00069,604.969,5,1,1,1.0,604.969,C1,608.2680000000001,634.4680000000002,ARRIVED,3.299000000000092,26.200000000000045,29.499000000000137
P00070,606.325,6,1,1,1.0,606.325,C1,615.4680000000002,634.4680000000002,ARRIVED,9.143000000000143,19.0,28.143000000000143
P00071,632.789,5,1,1,1.0,632.789,C1,648.4680000000002,668.0680000000003,ARRIVED,15.679000000000201,19.600000000000136,35.27900000000034
P00072,635.4,2,1,1,1.0,635.4,C2,640.4,648.2,ARRIVED,5.0,7.800000000000068,12.800000000000068
P00073,646.072,6,1,1,1.0,646.072,C2,664.7,687.8000000000002,ARRIVED,18.628000000000043,23.100000000000136,41.72800000000018
P00074,649.221,5,1,1,1.0,649.221,C1,652.1680000000002,668.0680000000003,ARRIVED,2.94700000000023,15.900000000000091,18.84700000000032
P00075,654.699,4,1,1,1.0,654.699,C1,679.5680000000003,711.9680000000003,ARRIVED,24.86900000000037,32.39999999999998,57.26900000000035
P00076,662.033,4,1,1,1.0,662.033,C2,674.4000000000001,687.8000000000002,ARRIVED,12.367000000000075,13.400000000000091,25.767000000000166
P00077,663.775,2,1,1,1.0,663.775,C3,668.775,680.875,ARRIVED,5.0,12.100000000000023,17.100000000000023
P00078,664.223,2,1,1,1.0,664.223,C3,668.775,680.875,ARRIVED,4.552000000000021,12.100000000000023,16.652000000000044
P00079,679.526,6,1,1,1.0,679.526,C1,689.2680000000004,711.9680000000003,ARRIVED,9.742000000000417,22.699999999999932,32.44200000000035
