time,call_id,passenger_id,origin_floor,destination_floor,car_id
0.068,CALL000001,P00001,6,1,C3
8.933,CALL000002,P00002,7,1,C1
25.004,CALL000003,P00003,4,1,C3
33.079,CALL000004,P00004,7,1,C1
33.36,CALL000005,P00005,6,1,C1
36.897,CALL000006,P00006,2,1,C3
38.807,CALL000007,P00007,8,1,C1
39.822,CALL000008,P00008,8,1,C1
43.787,CALL000009,P00009,8,1,C2
51.251,CALL000010,P00010,5,1,C2
65.068,CALL000011,P00011,5,1,C3
77.375,CALL000012,P00012,3,1,C1
80.738,CALL000013,P00013,8,1,C2
81.674,CALL000014,P00014,4,1,C3
83.229,CALL000015,P00015,7,1,C3
96.514,CALL000016,P00016,7,1,C2
98.532,CALL000017,P00017,5,1,C1
99.731,CALL000018,P00018,3,1,C1
104.825,CALL000019,P00019,7,1,C3
109.507,CALL000020,P00020,7,1,C3
141.566,CALL000021,P00021,8,1,C3
143.199,CALL000022,P00022,4,1,C1
155.437,CALL000023,P00023,7,1,C2
158.965,CALL000024,P00024,8,1,C2
159.732,CALL000025,P00025,2,1,C3
171.295,CALL000026,P00026,3,1,C1
181.287,CALL000027,P00027,4,1,C1
181.465,CALL000028,P00028,6,1,C3
189.141,CALL000029,P00029,5,1,C2
192.793,CALL000030,P00030,7,1,C2
196.403,CALL000031,P00031,6,1,C2
197.697,CALL000032,P00032,6,1,C3
198.837,CALL000033,P00033,7,1,C3
217.95,CALL000034,P00034,2,1,C1
228.594,CALL000035,P00035,3,1,C1
246.931,CALL000036,P00036,3,1,C1
259.06,CALL000037,P00037,6,1,C1
259.75,CALL000038,P00038,7,1,C1
262.015,CALL000039,P00039,6,1,C1
288.851,CALL000040,P00040,5,1,C1
289.075,CALL000041,P00041,6,1,C1
291.539,CALL000042,P00042,7,1,C1
294.412,CALL000043,P00043,2,1,C2
296.668,CALL000044,P00044,6,1,C1
334.978,CALL000045,P00045,6,1,C1
350.503,CALL000046,P00046,4,1,C1
351.633,CALL000047,P00047,6,1,C2
354.097,CALL000048,P00048,3,1,C3
359.659,CALL000049,P00049,3,1,C2
362.634,CALL000050,P00050,2,1,C3
367.229,CALL000051,P00051,8,1,C2
367.325,CALL000052,P00052,4,1,C3
377.717,CALL000053,P00053,5,1,C1
385.558,CALL000054,P00054,2,1,C3
415.389,CALL000055,P00055,7,1,C1
448.957,CALL000056,P00056,5,1,C1
449.575,CALL000057,P00057,6,1,C1
461.179,CALL000058,P00058,4,1,C2
463.483,CALL000059,P00059,5,1,C3
473.114,CALL000060,P00060,3,1,C3
482.283,CALL000061,P00061,5,1,C3
482.834,CALL000062,P00062,2,1,C2
495.527,CALL000063,P00063,3,1,C2
